The dog attacked the little boy.,कुत्ते ने छोटे लड़के पर हमला कर दिया।
Think about it.,इसके बारे में सोचो।
I like the actor.,मुझे अभिनेता पसंद है।
I gave it to my mommy.,मैंने इसे अपनी माँ को दिया।
I bought a few eggs and a little milk.,मैंने कुछ अंडे और थोड़ा दूध खरीदा।
My uncle bought me this book.,मेरे चाचा ने मुझे यह किताब खरीदी।
I'll buy a new one.,मैं एक नया खरीदूंगा।
It's nice.,यह अच्छा है।
His brother was nasty to me.,उसका भाई मेरे लिए बुरा था।
He's not like us.,वह हमारे जैसा नहीं है।
He's much younger than Tom.,वह टॉम से बहुत छोटा है।
He can swim.,वह तैर सकता है।
He is a head taller than me.,वह मुझसे लंबा सिर है।
She waved good-bye to me.,उसने मुझे अलविदा कहा।
She used to play tennis every Sunday.,वह हर रविवार को टेनिस खेलती थी।
Oil has been discovered under the North Sea.,उत्तरी सागर के नीचे तेल की खोज की गई है।
Who is he?,वह कौन है?
I don't remember your name.,मुझे आपका नाम याद नहीं है।
I threw up.,मैंने फेंका।
I want to pay with a check.,मैं चेक से भुगतान करना चाहता हूं।
She has three brothers.,उसके तीन भाई हैं।
The customer is always right.,ग्राहक हमेशा सही होता है।
One plus two is equal to three.,एक जमा दो तीन के बराबर होता है।
Nice suit.,बढ़िया सूट।
The book is big.,किताब बड़ी है।
I have to hurry!,मुझे जल्दी है!
This is the woman whose cars were stolen.,यह वह महिला है जिसकी कार चोरी हो गई थी।
Where are the parking metres?,पार्किंग मीटर कहां हैं?
He is opening the window.,वह खिड़की खोल रहा है।
My parents come from China.,मेरे माता-पिता चीन से आते हैं।
I won the gold medal.,मैंने स्वर्ण पदक जीता।
What a beautiful rainbow!,कितना सुंदर इंद्रधनुष है!
The garden was full of beautiful yellow flowers.,बगीचा सुंदर पीले फूलों से भरा हुआ था।
She is the Prime Minister of Finland.,वह फिनलैंड की प्रधानमंत्री हैं।
My mother told me to mow the lawn.,मेरी माँ ने मुझे लॉन घास काटने के लिए कहा था।
Tom used a toothpick.,टॉम ने टूथपिक का इस्तेमाल किया।
I love Natasha.,मुझे नताशा से प्यार है।
This is nonsense.,यह बकवास है।
I don't want pizza.,मुझे पिज्जा नहीं चाहिए।
I'm not hungry.,मुझे भूख नहीं है।
Do seedless watermelons exist?,क्या बीज रहित तरबूज मौजूद हैं?
I lost my key.,मेरी चाबी खो गई।
If you don't like it then you can quit.,अगर आपको यह पसंद नहीं है तो आप छोड़ सकते हैं।
That guy is completely nuts!,वह आदमी बिल्कुल पागल है!
I'm sleepy!,मुझे नींद आ रही है!
The data network is now complete.,डेटा नेटवर्क अब पूरा हो गया है।
The shooting had ceased.,शूटिंग बंद हो गई थी।
Kerensky has fled.,केरेन्स्की भाग गया।
The boy-scouts jeered and scuttled into the building.,लड़के-स्काउट्स ने इमारत में ठहाका लगाया और चिल्लाया।
Five rings,पांच अंगूठियां
In 1922,1922 में
Kohl announced economy measures,कोहल ने आर्थिक उपायों की घोषणा की
Both have been arrested already.,दोनों को पहले ही गिरफ्तार किया जा चुका है।
Both were silent.,दोनों चुप थे।
What is the height of the tallest redwood?,सबसे ऊंचे रेडवुड की ऊंचाई कितनी है?
"Who directed the film ""Fail Safe""?","फिल्म ""फेल सेफ"" का निर्देशन किसने किया?"
What roller coaster is the fastest in the world?,दुनिया में सबसे तेज कौन सा रोलर कोस्टर है?
How tall is Mike Tyson?,माइक टायसन कितना लंबा है
How many people in U.S. do not have health insurance?,अमेरिका में कितने लोगों के पास स्वास्थ्य बीमा नहीं है?
How did Jerry Garcia die?,जैरी गार्सिया की मृत्यु कैसे हुई?
I'm bored right now.,मैं अभी ऊब गया हूँ।
They were satisfied.,वे संतुष्ट थे।
Tom shrugged his shoulders.,टॉम ने अपने कंधे उचका दिए।
Corsairfly is an airline based in Paris.,Corsairfly पेरिस में स्थित एक एयरलाइन है।
Tom is a fakir.,टॉम एक फकीर है।
He is out now.,वह अब बाहर है।
Tom wasn't wearing anything.,टॉम ने कुछ भी नहीं पहना था।
He's absent-minded.,वह अनुपस्थित-दिमाग वाला है।
Tom abhors violence.,टॉम हिंसा से घृणा करता है।
She is not a good sailor.,वह एक अच्छी नाविक नहीं है।
Everyone's eating.,सब खा रहे हैं।
This is an old letter.,यह एक पुराना पत्र है।
Tom is rinsing the dishes.,टॉम बर्तन धो रहा है।
Will Tom die?,क्या टॉम मर जाएगा?
The house has burnt down.,घर जल कर राख हो गया है।
Tom is being silly,टॉम मूर्खतापूर्ण हो रहा है
She smoked a cigar.,उसने एक सिगार पी।
Tom is disrespectful.,टॉम अपमानजनक है।
She's brushing her hair.,वह अपने बालों को ब्रश कर रही है।
She loved Tom.,वह टॉम से प्यार करती थी।
I haven't been to Boston since 2013.,मैं 2013 से बोस्टन नहीं गया हूं।
The college was founded by Mr Smith.,कॉलेज की स्थापना मिस्टर स्मिथ ने की थी।
Something's burning.,कुछ जल रहा है।
The sun is rising.,सूरज चढ़ रहा है।
My sister isn't studying now.,मेरी बहन अभी पढ़ाई नहीं कर रही है।
Is the cat all right?,क्या बिल्ली ठीक है?
Tom doesn't know me.,टॉम मुझे नहीं जानता।
The door is opening now.,दरवाजा अब खुल रहा है।
There are rats in the kitchen.,किचन में चूहे हैं।
He is poor.,यह गरीब है।
The girl was visibly shaken after the accident.,हादसे के बाद बच्ची कांपती हुई नजर आ रही थी।
The artist is gifted.,कलाकार प्रतिभाशाली है।
Tom was thoughtful.,टॉम विचारशील था।
This is Miss Curtis.,यह मिस कर्टिस है।
Stir the paint with a stick.,एक छड़ी के साथ पेंट हिलाओ।
Is the phone ringing?,फोन बज रहा है?
I have a big dog.,मेरे पास एक बड़ा कुत्ता है।
You're a workaholic.,आप वर्कहॉलिक हैं।
Yesterday I went to the opera.,कल मैं ओपेरा में गया था।
He is a plucky guy.,वह एक फुर्तीला आदमी है।
How's Tom's cold?,टॉम की ठंड कैसी है?
I deserve an explanation.,मैं स्पष्टीकरण का पात्र हूं।
Mary just left.,मैरी अभी चली गई।
I will not lie to her.,मैं उससे झूठ नहीं बोलूंगा।
I needed money.,मुझे पैसे चाहिए थे।
She ate her dinner.,उसने अपना खाना खा लिया।
The game excited lots of people.,इस खेल ने बहुत से लोगों को उत्साहित किया।
The boy fanned himself with his hat.,लड़के ने अपनी टोपी से खुद को पंखा किया।
Everyone wants that.,हर कोई यही चाहता है।
Coffee will be served after the meal.,भोजन के बाद कॉफी परोसी जाएगी।
She has two thousand books.,उनके पास दो हजार किताबें हैं।
He is leaving Chicago tomorrow.,वह कल शिकागो जा रहे हैं।
Everybody except Joe went to the party.,जो को छोड़कर सभी लोग पार्टी में गए।
He is spinning wool.,वह ऊन कताई कर रहा है।
I'm very lazy.,मैं बहुत आलसी हूँ।
Some people might assume that.,कुछ लोग ऐसा मान सकते हैं।
Mr Wood was like a father to Tony.,मिस्टर वुड टोनी के पिता के समान थे।
Packing sucks.,पैकिंग बेकार है।
How heavy you are!,तुम कितने भारी हो!
That story is a famous one that everyone knows.,वह कहानी एक प्रसिद्ध है जिसे हर कोई जानता है।
Tom works for an oil company.,टॉम एक तेल कंपनी में काम करता है।
He is studying agriculture.,वह कृषि का अध्ययन कर रहा है।
Tom carefully wiped his fingerprints off the knife.,टॉम ने चाकू से अपनी उंगलियों के निशान सावधानी से मिटा दिए।
Your jokes aren't funny.,आपके चुटकुले मजाकिया नहीं हैं।
That kind of remark does not befit you.,इस तरह की टिप्पणी आपको शोभा नहीं देती।
I'd better drive you home.,बेहतर होगा कि मैं तुम्हें घर चला दूं।
His stupidity is abysmal.,उसकी मूर्खता लाजवाब है।
Tom didn't find it.,टॉम नहीं मिला।
Tom and Mary detest each other.,टॉम और मैरी एक दूसरे से घृणा करते हैं।
He is no less diligent than she.,वह उससे कम मेहनती नहीं हैं।
Tom was hurt.,टॉम को चोट लगी थी।
I took the elevator to the third floor.,मैं लिफ्ट से तीसरी मंजिल पर गया।
I think Tom is normal.,मुझे लगता है कि टॉम सामान्य है।
My brother is rich.,मेरा भाई अमीर है।
He drives me crazy.,वह मुझे पागल कर देता है।
Tom is a common name.,टॉम एक सामान्य नाम है।
My plan worked.,मेरी योजना काम कर गई।
She sang a song.,उसने एक गाना गाया।
The alarm didn't wake Tom.,अलार्म ने टॉम को नहीं जगाया।
Tom was sweating.,टॉम पसीना बहा रहा था।
Tom says he's busy.,टॉम कहता है कि वह व्यस्त है।
I have lost my pencil.,मैंने अपनी पेंसिल खो दी है।
I have got into Hyogo University.,मैंने ह्योगो विश्वविद्यालय में प्रवेश लिया है।
His sister is not going to America.,उसकी बहन अमेरिका नहीं जा रही है।
She picked up a coin.,उसने एक सिक्का उठाया।
I needed it.,मुझे यह चाहिए था।
This is creepy.,यह डरावना है।
I phoned.,मैने फोन किया।
Tom's eating.,टॉम खा रहा है।
The skier suffered a head trauma.,स्कीयर के सिर में चोट आई है।
She joined us.,वह हमसे जुड़ गई।
What a lot of books! Do they belong to the university library?,कितनी किताबें हैं! क्या वे विश्वविद्यालय पुस्तकालय से संबंधित हैं?
I supported him.,मैंने उसका समर्थन किया।
I'm not creative.,मैं रचनात्मक नहीं हूं।
Mary is snoring.,मैरी खर्राटे ले रही है।
Tom seems conceited.,टॉम अभिमानी लगता है।
I was very good.,मैं बहुत अच्छा था।
She dialled the number.,उसने नंबर डायल किया।
The leaves fell to the earth.,पत्तियाँ धरती पर गिर पड़ीं।
Tom is wet.,टॉम गीला है।
Tom played with his dog.,टॉम अपने कुत्ते के साथ खेला।
He needs assistants.,उसे सहायकों की जरूरत है।
You lied to me!,आपने मुझसे झूठ बोला!
That doesn't regard you at all.,यह आपको बिल्कुल नहीं मानता।
It's clean.,यह साफ है।
Ten prisoners broke out of jail.,दस कैदी जेल से बाहर निकले।
My watch may be one or two minutes fast.,मेरी घड़ी एक या दो मिनट तेज हो सकती है।
The cube root of twenty-seven is three.,सत्ताईस का घनमूल तीन होता है।
Tom is extremely gullible.,टॉम बेहद भोला है।
I know that John is honest.,मुझे पता है कि जॉन ईमानदार है।
Who won?,कौन जीता?
Tom has never been skiing.,टॉम कभी स्कीइंग नहीं किया।
Did Tom try?,क्या टॉम ने कोशिश की?
Tom is grinning.,टॉम मुस्कुरा रहा है।
All the passengers died,सभी यात्रियों की मौत
The method was too expensive to be practical.,व्यावहारिक होने के लिए विधि बहुत महंगी थी।
I've never been to Paris.,मैं कभी पेरिस नहीं गया।
Ken wasn't running.,केन नहीं चल रहा था।
I ate.,मैं खाता तो हूँ।
The girls reveled in dancing.,छात्राओं ने जमकर डांस किया।
She graduated from Kobe University.,उन्होंने कोबे यूनिवर्सिटी से ग्रेजुएशन किया है।
Tom laid his racket on the ground.,टॉम ने अपना रैकेट जमीन पर रख दिया।
I can't open this bottle.,मैं यह बोतल नहीं खोल सकता।
You have a very good voice.,आपकी आवाज बहुत अच्छी है।
He is rich,वह धनी है
Mary misled me.,मैरी ने मुझे गुमराह किया।
I hope Tom agrees.,मुझे आशा है कि टॉम सहमत हैं।
We use really state-of-the-art equipment.,हम वास्तव में अत्याधुनिक उपकरणों का उपयोग करते हैं।
With whom are you eating dinner?,आप किसके साथ रात का खाना खा रहे हैं?
The storm abated.,तूफान थम गया।
He's watching the Olympics.,वह ओलंपिक देख रहा है।
My watch says 2:30.,मेरी घड़ी 2:30 कहती है।
Everybody hates me.,सब लोग मुझसे नफरत करते है।
I'm a genius.,मैं बहुत बुद्धिमान हूं।
He lives in the city.,वह शहर में रहता है।
The storm let up.,तूफान ने छोड़ दिया।
The buds began to open.,कलियाँ खुलने लगीं।
There are many islands in Greece.,ग्रीस में कई द्वीप हैं।
The blast destroyed everything.,विस्फोट ने सब कुछ तबाह कर दिया।
I wasn't prepared.,मैं तैयार नहीं था।
Tom is not dead.,टॉम मरा नहीं है।
The doll lay on the floor.,गुड़िया फर्श पर पड़ी थी।
I do not like science.,मुझे विज्ञान पसंद नहीं है।
He's Argentinian.,वह अर्जेंटीना है।
How's the dog?,कुत्ता कैसा है?
Tom left at midnight.,टॉम आधी रात को चला गया।
I am in Russia.,मैं रूस में हूं।
I was having dinner with Tom.,मैं टॉम के साथ डिनर कर रहा था।
Fish surface for air.,हवा के लिए मछली की सतह।
Tom saw a mouse.,टॉम ने एक चूहा देखा।
I like my teachers.,मुझे अपने शिक्षक पसंद हैं।
Tom laughs a lot.,टॉम बहुत हंसता है।
The apple is not green.,सेब हरा नहीं है।
We volunteered.,हमने स्वेच्छा से।
Tom drives a truck and his wife drives a station wagon.,टॉम एक ट्रक चलाता है और उसकी पत्नी एक स्टेशन वैगन चलाती है।
That's obvious.,ज़ाहिर सी बात है।
These are perfect.,ये परिपूर्ण हैं।
You lied to us,आपने हमसे झूठ बोला
What a jungle!,क्या जंगल है!
He gave in.,उन्होंने अंदर दिया।
Whoever is born in Austria,जो कोई भी ऑस्ट्रिया में पैदा हुआ है
Tom visited us yesterday.,टॉम कल हमसे मिलने आया था।
Tom took part in the race.,टॉम ने दौड़ में हिस्सा लिया।
I'm drunk.,मैं नशे में हूँ।
Tom dreamed of her often.,टॉम अक्सर उसका सपना देखता था।
She has kept a diary for 3 years.,उसने 3 साल से एक डायरी रखी है।
He needed money.,उसे पैसे की जरूरत थी।
I need some.,मुझे कुछ।
Tom is manipulative.,टॉम जोड़ तोड़ है।
Everything is new.,सब कुछ नया है।
Tom didn't answer all the questions.,टॉम ने सभी सवालों का जवाब नहीं दिया।
Tom is eavesdropping.,टॉम सुन रहा है।
Are you lucky?,क्या आप भाग्यशाली हैं?
Are they live?,क्या वे जीवित हैं?
Tom is drowning!,टॉम डूब रहा है!
My friend invited me to dinner at the restaurant.,मेरे दोस्त ने मुझे रेस्तरां में रात के खाने पर आमंत्रित किया।
I hope she's all right.,मुझे आशा है कि वह ठीक है।
She caused this.,उसने इसका कारण बना।
Mary broke up with me.,मैरी ने मेरे साथ संबंध तोड़ लिया।
Why are you shouting?,तुम चिल्ला क्यों रहे हो?
He is gay.,वह समलैंगिक है।
We found it.,हमने यह पाया।
Tom draws well.,टॉम अच्छी तरह से खींचता है।
She did not read the book.,उसने किताब नहीं पढ़ी।
Tom and Mary stopped hugging.,टॉम और मैरी ने गले लगाना बंद कर दिया।
His dog ran in the yard.,उसका कुत्ता यार्ड में दौड़ा।
I went fishing.,मुझे मछली पकड़नी थी।
Do you prefer Belgian or German beer?,क्या आप बेल्जियम या जर्मन बियर पसंद करते हैं?
Tom is ready.,टॉम तैयार है।
Tom drives slowly.,टॉम धीरे-धीरे ड्राइव करता है।
How much did the glasses cost?,चश्मे की कीमत कितनी थी?
My grandmother passed away.,मेरी दादी का निधन हो गया।
Eight plus two is ten.,आठ जमा दो दस है।
Tom was excited.,टॉम उत्साहित था।
Somebody's at the front door.,कोई सामने के दरवाजे पर है।
Tom's house is easy to find.,टॉम का घर ढूंढना आसान है।
Tom spent several hours in the library.,टॉम ने पुस्तकालय में कई घंटे बिताए।
Tom has bought a house which has six rooms.,टॉम ने एक घर खरीदा है जिसमें छह कमरे हैं।
I am spreading mustard on a slice of bread.,मैं रोटी के एक टुकड़े पर राई फैला रहा हूँ।
These cups are all broken.,ये सारे प्याले टूटे हुए हैं।
I'm 17,मैं 17 का हूं
She crawled out of bed.,वह बिस्तर से रेंग कर उठी।
Tycho Brahe benefited greatly from King Fredrik's generous support.,राजा फ्रेड्रिक के उदार समर्थन से टाइको ब्राहे को बहुत लाभ हुआ।
Tom is courteous.,टॉम विनम्र है।
He is writing a letter.,वह एक पत्र लिख रही है।
I eat a banana.,मैं एक केला खाता हूं।
Keisuke is taller than me.,कीसुके मुझसे लंबा है।
Is Haruki Murakami popular in Vietnam as well?,क्या हारुकी मुराकामी वियतनाम में भी लोकप्रिय है?
Alas!,काश!
Tom is as tall as his father.,टॉम अपने पिता जितना लंबा है।
Klava oversimplifies everything.,क्लावा हर चीज की देखरेख करता है।
I can't talk now.,मैं अभी बात नहीं कर सकता।
Tom has a Swiss bank account.,टॉम का स्विस बैंक खाता है।
This story doesn't have a happy ending.,इस कहानी का सुखद अंत नहीं है।
This is impossible!,यह असंभव है!
Tom's paralyzed.,टॉम लकवाग्रस्त है।
I've been stung by a hornet.,मुझे एक हॉर्नेट ने काट लिया है।
Tom failed because he didn't study.,टॉम फेल हो गया क्योंकि उसने पढ़ाई नहीं की।
Tom got sick.,टॉम बीमार हो गया।
What's your favorite commercial?,आपका पसंदीदा विज्ञापन क्या है?
Tom lowered the bucket into the well.,टॉम ने बाल्टी को कुएं में उतारा।
He's the oldest son.,वह सबसे बड़ा बेटा है।
I'm nervous now.,मैं अब नर्वस हूं।
He reached for the pistol.,पिस्टल लेने पहुंचे।
Sally is two years older than Ken.,सैली केन से दो साल बड़ी है।
But nobody believed her.,लेकिन किसी ने उसकी बात पर विश्वास नहीं किया।
I love Italian food.,मुझे इटालियन भोजन पसंद है।
Tom is still uncertain.,टॉम अभी भी अनिश्चित है।
My family is very proud of me.,मेरे परिवार को मुझ पर बहुत गर्व है।
Tom is as fast as a leopard.,टॉम तेंदुए की तरह तेज है।
She loves to cook.,वह खाना बनाना पसंद करती है।
If the text doesn't make sense,यदि पाठ का कोई अर्थ नहीं है
The serpent tempted Eve.,सर्प ने हव्वा को बहकाया।
Tom can't speak French. Tom can't speak Spanish either.,टॉम फ्रेंच नहीं बोल सकता। टॉम स्पेनिश भी नहीं बोल सकता।
Mary wants to paint her car bright blue.,मैरी अपनी कार को चमकीले नीले रंग में रंगना चाहती है।
I never lie.,मैं कभी झूठ नहीं बोलती।
That politician is an old fox.,वह राजनेता एक बूढ़ा लोमड़ी है।
We are dozing off.,हम झपकी ले रहे हैं।
The cat is watching the fish.,बिल्ली मछली देख रही है।
A decapitated body was on the coroner's table.,कोरोनर की मेज पर एक क्षत-विक्षत शव पड़ा था।
Many a man has predicted it.,कई लोगों ने इसकी भविष्यवाणी की है।
Tom is the one we want.,टॉम वह है जिसे हम चाहते हैं।
He jumped into the train.,वह ट्रेन में कूद गया।
Sachiko is more popular than Judy.,साचिको जूडी से ज्यादा लोकप्रिय है।
Both roads lead to the station.,दोनों सड़कें स्टेशन की ओर जाती हैं।
She found one.,उसने एक पाया।
My son will take over the job.,मेरा बेटा काम संभालेगा।
Speak clear.,साफ बोलो।
These shoes are a little loose.,ये जूते थोड़े ढीले हैं।
I can't understand this table.,मैं इस तालिका को नहीं समझ सकता।
This is a map of the city of Sendai.,यह सेंदाई शहर का नक्शा है।
Tom was carrying a bucket of water.,टॉम पानी की बाल्टी लेकर जा रहा था।
I was crying.,मैं रो रहा था।
We're very happy with the results.,हम परिणामों से बहुत खुश हैं।
I'm really fed up with this heat.,मैं वास्तव में इस गर्मी से तंग आ चुका हूं।
Man has been writing for about 6000 years.,मनुष्य लगभग 6000 वर्षों से लिख रहा है।
She acknowledged her mistake.,उसने अपनी गलती मानी।
A lot of insects are chirping in the field.,खेत में बहुत सारे कीड़े चहक रहे हैं।
I'm a volleyball player.,मैं वॉलीबॉल खिलाड़ी हूं।
My mother made me a sweater.,मेरी माँ ने मुझे स्वेटर बनाया।
You are not watching TV now.,आप अभी टीवी नहीं देख रहे हैं।
This is exciting.,यह रोमाँचक है।
The pie is fresh.,पाई ताजा है।
Mary is watering the garden.,मैरी बगीचे में पानी भर रही है।
He played the piano and she sang.,उसने पियानो बजाया और उसने गाया।
You hugged Mary.,आपने मैरी को गले लगाया।
We saw the monkey at the zoo.,हमने बंदर को चिड़ियाघर में देखा।
I'll hang my coat up behind the door.,मैं अपना कोट दरवाजे के पीछे लटका दूंगा।
He called his mother up from the airport.,उसने एयरपोर्ट से अपनी मां को फोन किया।
There are over 800,800 . से अधिक हैं
I was expelled from school.,मुझे स्कूल से निकाल दिया गया।
Despite their great wealth,अपनी अपार दौलत के बावजूद
Tom started walking.,टॉम चलने लगा।
He has read War and Peace 15 times.,उन्होंने युद्ध और शांति को 15 बार पढ़ा है।
He gave me some money.,उसने मुझे कुछ पैसे दिए।
All of us were surprised at the news.,इस खबर से हम सभी हैरान रह गए।
The rain is letting up.,बारिश दे रही है।
I'll miss you too.,मुझे भी तुम्हारी बहुत याद आएगी।
I am counting on your help.,मैं आपकी मदद पर भरोसा कर रहा हूं।
Tom is extremely fit.,टॉम बेहद फिट हैं।
Tom's plan actually worked.,टॉम की योजना वास्तव में काम कर गई।
He's shorter than his father.,वह अपने पिता से छोटा है।
I want it now!,मुझे ये अभी चाहिए!
Emily is crying.,एमिली रो रही है।
I borrowed Tom's car.,मैंने टॉम की कार उधार ली।
I brought wine.,मैं शराब लाया।
This train leaves at nine o'clock.,यह ट्रेन नौ बजे निकलती है।
Tom's speech was good.,टॉम का भाषण अच्छा था।
Tom ripped you off.,टॉम ने तुम्हें चीर दिया।
I have been to America twice.,मैं दो बार अमेरिका जा चुका हूं।
Tom picked the diamond up and looked at it.,टॉम ने हीरा उठाया और उसकी ओर देखा।
He came back at 5 o'clock.,वह 5 बजे वापस आया।
My bedroom is crawling with spiders.,मेरा शयनकक्ष मकड़ियों से रेंग रहा है।
Tom is very polite.,टॉम बहुत विनम्र है।
He's good.,वह अच्छा है।
Maybe Tom killed himself.,शायद टॉम ने खुद को मार डाला।
She's cleaning the book.,वह किताब साफ कर रही है।
There are plenty of fish in this river.,इस नदी में बहुत सारी मछलियाँ हैं।
Tom was praying.,टॉम प्रार्थना कर रहा था।
The doctor told Tom that he should eat a lot of vegetables.,डॉक्टर ने टॉम से कहा कि उसे ढेर सारी सब्जियां खानी चाहिए।
He saw a small Band-Aid on her left knee.,उसने उसके बाएं घुटने पर एक छोटा सा बैंड-एड देखा।
She won a phone.,उसने एक फोन जीता।
I am engaged to her.,मैं उससे जुड़ा हुआ हूं।
I was afraid.,मैं डर गया था।
Tom isn't winning.,टॉम जीत नहीं रहा है।
The suit's made of very rough material.,सूट बहुत ही रफ मैटेरियल से बना है।
Warn Tom.,टॉम को चेतावनी दें।
Somebody catch that man!,कोई उस आदमी को पकड़ ले!
Tom is amused.,टॉम खुश है।
Are those yours?,क्या वो आपके हैं?
I always get up at 6 o'clock in the morning.,मैं हमेशा सुबह 6 बजे उठता हूं।
The price rose.,कीमत बढ़ी।
Tom threw Mary a rope.,टॉम ने मैरी को एक रस्सी फेंकी।
This tour is going to be amazing!,यह दौरा अद्भुत होने वाला है!
You can buy stamps at any post office.,आप किसी भी डाकघर से टिकट खरीद सकते हैं।
Tom's eyes are red,टॉम की आंखें लाल हैं
Tom's cooking breakfast.,टॉम का खाना पकाने का नाश्ता।
We played on the banks of the Thames.,हम टेम्स के किनारे खेले।
Tom handed Mary a glass of red wine.,टॉम ने मैरी को रेड वाइन का गिलास दिया।
We were right.,हम सही थे।
There are many birds in this park.,इस पार्क में कई पक्षी हैं।
This is personal.,यह व्यक्तिगत है।
Tom is angry now.,टॉम अब गुस्से में है।
We rented a canoe.,हमने एक डोंगी किराए पर ली।
I didn't murder anyone.,मैंने किसी की हत्या नहीं की।
I am saving up so that I can go to Australia.,मैं बचत कर रहा हूं ताकि मैं ऑस्ट्रेलिया जा सकूं।
I like bright colors.,मुझे चमकीले रंग पसंद हैं।
I agree.,मैं सहमत हूं।
Tom loves tulips.,टॉम को ट्यूलिप बहुत पसंद है।
I love thick,मैं मोटा प्यार करता हूँ
Tom honked the horn.,टॉम ने हॉर्न बजाया।
He's a terrible driver.,वह एक भयानक ड्राइवर है।
She fled Australia.,वह ऑस्ट्रेलिया भाग गई।
I'm exhausted.,मैं थक गया हूँ।
The conference drew 150 diplomats.,सम्मेलन ने 150 राजनयिकों को आकर्षित किया।
Tom loved all of us.,टॉम हम सभी से प्यार करता था।
Tom twisted the truth.,टॉम ने सच्चाई को तोड़ दिया।
I admire his talent.,मैं उनकी प्रतिभा की प्रशंसा करता हूं।
The monkey escaped from its cage.,बंदर अपने पिंजरे से भाग निकला।
A animal is grazing in a field,एक जानवर एक खेत में चर रहा है
A dog is licking a baby,एक कुत्ता एक बच्चे को चाट रहा है
A man is lumping dough,एक आदमी आटा गूंथ रहा है
A man is playing a trumpet,एक आदमी तुरही बजा रहा है
A woman is playing the flute,एक महिला बांसुरी बजा रही है
A woman is slicing tofu,एक महिला टोफू काट रही है
The animal with big eyes is voraciously eating,बड़ी आँखों वाला जानवर ज़बरदस्ती खा रहा है
The man is racing for the lead,आदमी नेतृत्व के लिए दौड़ रहा है
The men are not climbing a mountain,पुरुष पहाड़ पर नहीं चढ़ रहे हैं
The woman is not picking up a baby kangaroo,महिला कंगारू बच्चे को नहीं उठा रही है
Two children are playing with a ball in the park,दो बच्चे पार्क में गेंद से खेल रहे हैं
Two people are kickboxing and spectators are watching,दो लोग किकबॉक्सिंग कर रहे हैं और दर्शक देख रहे हैं
Tony broke it.,टोनी ने इसे तोड़ दिया।
The bus stop isn't far from us.,बस स्टॉप हमसे दूर नहीं है।
Kraft sold Celestial Seasonings to Lipton in 1986.,क्राफ्ट ने 1986 में सेलेस्टियल सीज़निंग को लिप्टन को बेच दिया।
Pierce lives on E. 28th Street.,पियर्स ई. 28 स्ट्रीट पर रहता है।
Bob was very happy.,बॉब बहुत खुश हुआ।
The baby is crawling.,बच्चा रेंग रहा है।
Do you have a credit card?,क्या आपके पास क्रेडिट कार्ड है?
I bought the book for ten dollars.,मैंने दस डॉलर में किताब खरीदी।
His older brother is two years older than I.,उसका बड़ा भाई मुझसे दो साल बड़ा है।
Does he speak English?,क्या वह अंग्रेजी बोलता है?
He gave the dog a bone.,उसने कुत्ते को एक हड्डी दी।
They armed themselves with guns.,उन्होंने खुद को बंदूकों से लैस किया।
She showers every morning.,वह रोज सुबह नहाती है।
I was born on 23 March 1969 in Barcelona.,मेरा जन्म 23 मार्च 1969 को बार्सिलोना में हुआ था।
When I entered the room,जब मैंने कमरे में प्रवेश किया
